# benchmark_mode: publication; auto_calibrated
# cpu_model: AMD Ryzen 9 7900X 12-Core Processor
# rustc: rustc 1.94.1 (e408947bf 2026-03-25)
# git_commit: 87dab8c29948a1a2e11cacc88f49d182bbd2e933
# git_state: dirty
# RUSTFLAGS: -C target-cpu=native
# release_profile: lto=fat, codegen-units=1, panic=abort
# pinned_cpus: 2
# governor: powersave
# turbo: unavailable
# smt: on
# command: ./target/release/sok-zk-friendly-hash-functions --csv
construction,variant,field,t,round_set,rounds,iters,rep,total_ns
neptune,,bls12_381,4,single,6+69,32768,2,325142889
neptune,,bn254,4,single,6+69,32768,2,313571018
neptune,,goldilocks,8,single,6+38,262144,2,316451419
neptune,,goldilocks,12,single,6+42,131072,2,304020032
psquarehash,,mersenne31,16,single,52,262144,2,241991996
psquarehash,,mersenne31,24,single,52,262144,2,353891233
psquarehash,,koalabear,16,single,52,262144,2,311442321
psquarehash,,koalabear,24,single,52,131072,2,230752607
psquarehash,,babybear,16,single,52,262144,2,309523745
psquarehash,,babybear,24,single,52,131072,2,231044191
rescue_prime,,bls12_381,3,current,16,1024,2,346014617
rescue_prime,,bls12_381,3,original,14,1024,2,302647357
rescue_prime,,bls12_381,4,current,13,1024,2,376283813
rescue_prime,,bls12_381,4,original,11,1024,2,315822905
rescue_prime,,bn254,3,current,16,1024,2,336866163
rescue_prime,,bn254,3,original,14,1024,2,294754029
rescue_prime,,bn254,4,current,13,1024,2,366337899
rescue_prime,,bn254,4,original,11,1024,2,309903325
rescue_prime,,goldilocks,8,single,8,16384,2,252219235
rescue_prime,,goldilocks,12,single,8,16384,2,393537250
rescue_prime,,mersenne31,16,single,8,16384,2,327554846
rescue_prime,,mersenne31,24,single,8,8192,2,264562839
rescue_prime,,koalabear,16,single,8,8192,2,235856453
rescue_prime,,koalabear,24,single,8,8192,2,380543481
rescue_prime,,babybear,16,single,8,8192,2,237383295
rescue_prime,,babybear,24,single,8,8192,2,384565757
anemoi,,bls12_381,4,current,20,1024,2,286912568
anemoi,,bls12_381,4,original,14,1024,2,200917511
anemoi,,bn254,4,current,20,1024,2,281991323
anemoi,,bn254,4,original,14,2048,2,394449033
anemoi,,goldilocks,8,single,11,32768,2,346283118
anemoi,,goldilocks,12,single,10,16384,2,237700288
anemoi,,mersenne31,16,single,10,32768,2,340393383
anemoi,,mersenne31,24,single,9,16384,2,238361363
anemoi,,koalabear,16,single,10,16384,2,259739717
anemoi,,koalabear,24,single,9,16384,2,362430127
anemoi,,babybear,16,single,9,16384,2,235060746
anemoi,,babybear,24,single,9,16384,2,363083860
griffin,,bls12_381,3,current,20,2048,2,286352872
griffin,,bls12_381,3,original,14,2048,2,200472510
griffin,,bls12_381,4,current,20,2048,2,288518278
griffin,,bls12_381,4,original,11,4096,2,317333657
griffin,,bn254,3,current,20,2048,2,281756735
griffin,,bn254,3,original,14,4096,2,394490089
griffin,,bn254,4,current,20,2048,2,283661524
griffin,,bn254,4,original,11,4096,2,312538859
griffin,,goldilocks,8,single,8,131072,2,282003876
griffin,,goldilocks,12,single,8,131072,2,300509062
arion,,bls12_381,3,single,11,4096,2,340652387
arion,,bls12_381,4,single,10,4096,2,328571074
arion,,bn254,3,single,11,4096,2,331559468
arion,,bn254,4,single,10,4096,2,319346829
grendel,native,bls12_381,3,single,24,256,2,268472123
grendel,native,bn254,3,single,24,256,2,266515788
xhash,XHash8,goldilocks,12,single,6,32768,2,282969701
xhash,XHash12,goldilocks,12,single,6,32768,2,370024297
xhash,XHash16,mersenne31,24,single,6,32768,2,300874565
xhash,XHash24,mersenne31,24,single,6,32768,2,362955639
reinforced_concrete,,bls12_381,3,single,7,131072,2,240383261
reinforced_concrete,,bn254,3,single,7,131072,2,240862166
skyscraper,,bls12_381,4,single,18,262144,2,286454542
skyscraper,,bn254,4,single,18,262144,2,278190301
monolith,,goldilocks,8,single,6,1048576,2,265091366
monolith,,goldilocks,12,single,6,524288,2,204343413
monolith,,mersenne31,16,single,6,524288,2,213892665
